Tại sao ESG lại là một chủ đề nóng và gây xúc động?,"Vì tin tức và mạng xã hội ngày càng phơi bày nhiều hơn về bất công khí hậu, biến động môi trường và vi phạm nhân quyền."
Sự trỗi dậy của ESG trong các tổ chức đã nhấn mạnh tầm quan trọng của những yếu tố nào?,"Sự minh bạch, trách nhiệm giải trình và các giải pháp bền vững."
Yếu tố nào có thể đặt ra một rào cản lớn đối với sự tham gia của nhân viên vào việc thực hiện ESG?,Các định kiến (biases).
"Tại Hoa Kỳ, từ viết tắt ESG đã bị chính trị hóa cao độ như một yếu tố của _____.",chính trị bản sắc (identity politics).
Một số công ty đã làm gì để tránh sử dụng thuật ngữ ESG bị chính trị hóa?,"Họ tập trung vào các thuật ngữ thay thế như ""tính bền vững"" hoặc ""thực hành kinh doanh có trách nhiệm""."
"Khi thảo luận về ESG, điều quan trọng là phải tiếp cận cuộc trò chuyện với thái độ như thế nào?",Với một cách tiếp cận cẩn trọng và đồng cảm.
Những quan điểm khác nhau về ESG có thể bắt nguồn từ đâu?,"Từ những kinh nghiệm, môi trường làm việc, định kiến và giá trị khác nhau."
Một chiến lược được đề xuất để thu hút người khác tham gia vào ESG là gì?,Hiểu quan điểm của người khác và định hình cuộc trò chuyện xoay quanh những mối quan tâm của họ.
Một chiến lược hiệu quả khác để thảo luận về ESG là gì?,Đặt ra các câu hỏi phản ánh và cung cấp dữ liệu cũng như ví dụ từ nhiều nguồn khác nhau.
Một mối lo ngại phổ biến về các sáng kiến ESG của công ty là chúng chỉ là một hình thức của _____.,tẩy xanh (greenwashing).
"Trong cuộc đối thoại, ví dụ về tẩy xanh được đề cập liên quan đến một nhà sản xuất sô cô la là gì?",Họ quảng cáo về việc tìm nguồn cung ứng có đạo đức nhưng không giải quyết vấn đề lượng nhựa họ sử dụng trong bao bì.
Làm thế nào để phản biện lại lập luận về tẩy xanh khi thảo luận về ESG?,Bằng cách cung cấp dữ liệu thực tế chứng minh sự đóng góp của việc tích hợp ESG vào các kết quả tích cực về môi trường và xã hội.
Có thể đặt câu hỏi nào để thách thức quan điểm rằng hành động cá nhân của người tiêu dùng là đủ cho các sáng kiến ESG?,Bạn có nghĩ rằng các hành động cá nhân là đủ không?
Bước đầu tiên được đề xuất để thiết lập một cuộc trò chuyện tích cực khi đối mặt với những nghi ngờ về ESG là gì?,Làm quen với các khái niệm cơ bản về ESG và cách chúng liên quan đến ngành của bạn.
Tại sao việc lắng nghe tích cực và tránh ngắt lời khi thảo luận về ESG lại quan trọng?,Để thể hiện sự tôn trọng và cố gắng hiểu quan điểm của người khác một cách trọn vẹn.
Tại sao việc nhận biết và thừa nhận cảm xúc đằng sau những nghi ngờ của người khác về ESG lại quan trọng?,Để xây dựng một cầu nối của sự tin tưởng.
